,Season,Round,Home,Away,FormDiff_01,FormDiff_033,FormDiff_05,FormDiff_066,L_k_Pts_Diff,L_k_St_A_Diff,L_k_Gls_A_Diff,L_k_cor_A_Diff,L_k_Off_A_Diff,L_k_Poss_A_Diff,L_k_Fls_A_Diff,Att_Diff,Mid_Diff,Def_Diff,Rat_Diff,Bud_Diff,Goal_Diff,Pts_Diff,W_Pts_Diff,Result
1487,2017/2018,18,Eintracht Frankfurt,Freiburg,0.17206379336831934,0.05484922043158713,0.42789459228515625,1.3391735549810968,0.125,-1.375,-0.125,0.25,0.875,-2.125,6.375,2,5,2,1,7000000,3,7,-0.09259259259259256,D
1488,2017/2018,18,Augsburg,Hamburger SV,0.37690175466869635,0.4376366631360872,0.5556106567382812,0.6452116226425471,0.5,-1.25,0.75,-1.625,0.0,-1.125,-2.25,5,1,1,1,-20500000,12,9,0.15740740740740738,H
1489,2017/2018,18,Hannover 96,Mainz 05,0.20916180982263655,0.4896002842456153,0.8775558471679688,1.294340232985612,0.125,-0.125,0.625,-0.125,0.0,-7.25,-3.375,0,-1,1,0,1000000,5,6,0.06481481481481485,H
1490,2017/2018,18,Stuttgart,Hertha BSC,-0.4655857364773257,-1.2202835504834275,-1.7950973510742188,-2.4816471915262994,-0.875,-0.25,-1.25,1.375,0.875,4.25,2.25,1,-2,-2,0,3000000,-13,-7,-0.4814814814814815,H
1491,2017/2018,18,RB Leipzig,Schalke 04,-0.16873416557888388,-0.5357945204240246,-0.831298828125,-1.6191874242632736,-0.625,-0.375,-0.625,-0.25,-0.125,2.0,-1.625,0,1,-3,0,16000000,-1,-2,-0.24074074074074076,H
1492,2017/2018,18,Köln,Borussia Mönchengladbach,-0.7334450928063303,-0.5687451172633455,-0.3403167724609375,-0.3958988039856327,-1.25,0.25,-0.875,-0.75,-0.625,-9.375,2.625,-3,-1,-3,0,-10500000,-17,-22,-0.24999999999999994,H
1493,2017/2018,18,Borussia Dortmund,Wolfsburg,0.18217826794489267,0.5292582710665628,0.8678970336914062,0.8543420600403885,-0.25,-1.0,0.25,1.375,0.5,6.875,0.625,4,1,6,0,8000000,18,9,0.12962962962962965,D
1494,2017/2018,19,Hertha BSC,Borussia Dortmund,-0.15847863686783903,-0.238646469126492,-0.07135772705078125,0.2758804116863839,0.25,0.75,0.375,-0.75,-0.875,-8.125,0.75,-6,-3,-4,0,-42000000,-13,-5,0.0,D
1495,2017/2018,19,Hoffenheim,Bayer Leverkusen,-0.224525821487774,-0.39309485322466775,-0.2591972351074219,-0.12700725923838424,-0.25,0.0,-0.25,-0.625,0.5,8.375,2.75,1,-3,-3,0,-10000000,-7,-1,-0.12037037037037035,A
1496,2017/2018,19,Freiburg,RB Leipzig,-0.26835534508969705,-0.10253773033206781,-0.0727081298828125,-0.3322836781310323,0.0,-0.5,-0.25,-0.625,-1.625,-7.875,-0.875,-4,-8,-3,-1,-44500000,-12,-11,0.11111111111111105,H
1497,2017/2018,19,Borussia Mönchengladbach,Augsburg,0.040473093140876104,-0.21693781681904778,-0.64654541015625,-0.9079676049349179,-0.125,-0.75,-0.125,-1.0,0.125,-0.125,-0.125,0,4,3,0,15500000,0,1,-0.1481481481481482,H
1498,2017/2018,19,Mainz 05,Stuttgart,-0.0565809443969334,-0.23780460838403178,-0.718048095703125,-1.5229302841864358,-0.125,0.5,0.625,-1.0,-1.0,2.125,2.0,0,0,-1,0,-2000000,7,-3,-0.12962962962962965,H
1499,2017/2018,19,Wolfsburg,Eintracht Frankfurt,-0.10594964003457674,-0.10375345373220046,-0.18340301513671875,-0.22744373591209,-0.25,0.875,0.125,-1.375,-1.375,1.375,-6.75,1,2,0,0,29500000,0,-7,-0.1111111111111111,A
1500,2017/2018,19,Hamburger SV,Köln,-0.045422657676478795,-0.6930158497275856,-0.9733352661132812,-1.1066999727722469,0.125,1.875,0.0,2.75,-0.375,9.75,0.125,-2,-4,-1,-1,15500000,3,6,-0.2592592592592593,A
1501,2017/2018,19,Bayern Munich,Werder Bremen,1.2854578861764994,2.7986017223943254,3.2743797302246094,3.1622988887850223,1.25,0.25,0.625,1.625,0.375,14.5,-1.5,14,8,11,1,83000000,26,28,0.4722222222222222,H
1502,2017/2018,19,Schalke 04,Hannover 96,0.12006494659576128,-0.35050470660398614,-0.8507614135742188,-1.1698117741710539,0.625,0.5,0.375,0.75,1.375,7.0,2.125,2,5,4,0,24000000,2,4,-0.02777777777777779,D
1503,2017/2018,20,Eintracht Frankfurt,Borussia Mönchengladbach,-0.006754964986937173,0.29594712056667727,0.5783042907714844,0.4737838299666768,-0.125,-1.0,-0.25,-0.25,0.25,-3.125,6.375,-2,-1,-3,0,-12500000,-6,-1,0.06481481481481477,H
1504,2017/2018,20,Bayern Munich,Hoffenheim,1.2312804903265255,3.180188294743929,3.675048828125,3.39262197615262,1.625,1.625,1.0,3.25,0.0,8.25,-4.375,11,9,10,1,68000000,15,20,0.6481481481481481,H
1505,2017/2018,20,Borussia Dortmund,Freiburg,0.04029319911733609,-0.36760307465109543,-0.8385219573974609,-1.9553534424388679,-0.625,-1.75,-0.25,0.0,1.125,8.5,-1.375,7,8,8,1,44500000,20,7,-0.18518518518518517,D
1506,2017/2018,20,RB Leipzig,Hamburger SV,0.6019425141477606,0.5913417851619518,0.5202865600585938,0.5808672342610216,0.5,0.125,1.0,-0.375,1.25,7.375,-2.125,5,7,2,1,20000000,16,16,0.22222222222222227,D
1507,2017/2018,20,Köln,Augsburg,-0.29378892152534786,0.3997992854264072,0.6955299377441406,0.887328021073781,-0.125,-1.0,-0.25,-2.75,0.125,-8.5,3.0,-3,3,0,0,5000000,-14,-15,0.18518518518518523,D
1508,2017/2018,20,Stuttgart,Schalke 04,-0.4775511072822497,-0.5701271911163257,-0.6458721160888672,-0.92029140950575,-0.5,-0.875,-1.25,0.375,-0.25,0.375,-1.25,-2,-4,-4,0,-23000000,-14,-11,-0.13888888888888892,A
1509,2017/2018,20,Werder Bremen,Hertha BSC,-0.31118451115218215,-0.596258150852583,-0.7467555999755859,-0.6006003320282708,0.0,0.625,-0.125,1.0,0.0,-2.875,2.625,2,0,-2,0,-1000000,-11,-9,-0.1296296296296296,D
