Season,Round,HomeTeam,AwayTeam,Date,Hour,HomeTeamPlayers,AwayTeamPlayers,GoalsHome,GoalsAway,CornersHome,CornersAway,ShotsTargetHome,ShotsTargetAway,ShotsWideHome,ShotsWideAway,FoulsHome,FoulsAway,OffsidesHome,OffsidesAway,HomeTeamPossession,AwayTeamPossession
2013/2014,12,Bayer Leverkusen,Hamburger SV,09/11/2013,15:30,B. Leno/S. Boenisch/E. Spahić/Ö. Toprak/G. Donati/S. Rolfes/S. Sam/G. Castro/E. Can/S. Kießling/Son Heung-Min,R. Adler/M. Jansen/H. Westermann/L. Sobiech/J. Tah/R. van der Vaart/M. Beister/M. Badelj/T. Arslan/H. Çalhanoğlu/P. Lasogga,5,3,3,6,3,3,6,4,12,19,2,0,50,50
2013/2014,12,Wolfsburg,Borussia Dortmund,09/11/2013,15:30,D. Benaglio/P. Ochs/Naldo/R. Rodríguez/R. Knoche/Luiz Gustavo/I. Perišić/S. Medojević/D. Caligiuri/M. Arnold/I. Olić,R. Weidenfeller/M. Hummels/S. Bender/N. Subotić/M. Schmelzer/K. Großkreutz/N. Şahin/H. Mkhitaryan/P. Aubameyang/R. Lewandowski/M. Reus,2,1,5,2,2,2,6,7,14,19,2,3,45,55
2013/2014,12,Hoffenheim,Hertha BSC,09/11/2013,15:30,K. Casteels/A. Beck/D. Abraham/N. Süle/E. Polanski/S. Salihović/T. Strobl/T. Elyounoussi/A. Modeste/K. Volland/Roberto Firmino,T. Kraft/F. Lustenberger/S. Langkamp/P. Pekarík/J. van den Bergh/H. Hosogai/Ä. Ben-Hatira/P. Skjelbred/T. Ciğerci/S. Allagui/A. Ramos,2,3,3,3,5,2,2,6,21,19,3,3,57,43
2013/2014,12,Borussia Mönchengladbach,Nürnberg,09/11/2013,18:30,M. ter Stegen/O. Wendt/M. Stranzl/T. Jantschke/J. Korb/J. Arango/G. Xhaka/C. Kramer/Raffael/M. Kruse/P. Herrmann,R. Schäfer/E. Pogatetz/M. Hasebe/P. Nilsson/A. Hloušek/M. Plattenhardt/M. Feulner/H. Kiyotake/T. Chandler/M. Frantz/J. Drmic,3,1,6,3,3,2,5,10,8,15,1,2,55,45
2013/2014,12,Mainz 05,Eintracht Frankfurt,10/11/2013,15:30,L. Karius/N. Noveski/Zdeněk Pospěch/S. Bell/E. Soto/N. Zimling/Park Joo-Ho/Y. Mallı/J. Geis/S. Okazaki/S. Polter,K. Trapp/M. Russ/B. Oczipka/Anderson Bamba/S. Jung/T. Barnetta/T. Inui/J. Flum/S. Rode/V. Kadlec/A. Meier,1,0,6,6,7,4,8,7,21,16,4,2,37,63
2013/2014,12,Freiburg,Stuttgart,10/11/2013,17:30,O. Baumann/F. Diagne/I. Höhn/M. Ginter/C. Günter/G. Fernandes/A. Mehmedi/F. Coquelin/N. Höfler/F. Klaus/S. Freis,S. Ulreich/K. Haggui/D. Schwaab/G. Niedermeier/K. Rausch/C. Gentner/W. Kvist/M. Leitner/A. Maxim/V. Ibišević/T. Werner,1,3,7,2,4,3,6,2,8,14,1,7,49,51
2013/2014,13,Stuttgart,Borussia Mönchengladbach,22/11/2013,20:30,S. Ulreich/D. Schwaab/G. Niedermeier/K. Rausch/A. Rüdiger/C. Gentner/W. Kvist/M. Leitner/A. Maxim/V. Ibišević/T. Werner,M. ter Stegen/O. Wendt/M. Stranzl/T. Jantschke/J. Korb/J. Arango/G. Xhaka/C. Kramer/Raffael/M. Kruse/P. Herrmann,0,2,1,5,3,10,5,6,12,10,1,2,49,51
2013/2014,13,Nürnberg,Wolfsburg,23/11/2013,15:30,R. Schäfer/E. Pogatetz/M. Hasebe/P. Nilsson/A. Hloušek/M. Plattenhardt/M. Feulner/H. Kiyotake/T. Chandler/M. Frantz/J. Drmic,D. Benaglio/P. Ochs/Naldo/R. Rodríguez/R. Knoche/Diego/Luiz Gustavo/I. Perišić/S. Medojević/M. Arnold/I. Olić,1,1,3,5,5,5,3,10,20,15,2,0,44,56
2013/2014,13,Augsburg,Hoffenheim,23/11/2013,15:30,M. Hitz/J. Callsen-Bracker/P. Verhaegh/R. Klavan/K. Vogt/M. Ostrzolek/Halil Altıntop/T. Werner/D. Baier/A. Hahn/A. Milik,K. Casteels/A. Beck/D. Abraham/N. Süle/E. Polanski/S. Salihović/F. Johnson/T. Strobl/A. Modeste/K. Volland/Roberto Firmino,2,0,5,4,2,2,10,4,15,21,2,1,52,48
2013/2014,13,Eintracht Braunschweig,Freiburg,23/11/2013,15:30,D. Davari/D. Dogan/T. Perthel/E. Bičakčić/O. Elabdellaoui/D. Vrančić/N. Theuerkauf/K. Kratz/M. Boland/D. Kumbela/K. Bellarabi,O. Baumann/O. Sorg/I. Höhn/M. Ginter/C. Günter/G. Fernandes/A. Mehmedi/V. Pilař/N. Höfler/M. Hanke/S. Freis,0,1,6,1,10,1,7,4,15,15,3,1,53,47
2013/2014,13,Eintracht Frankfurt,Schalke 04,23/11/2013,15:30,K. Trapp/M. Russ/C. Zambrano/B. Oczipka/S. Jung/T. Barnetta/M. Lanig/J. Flum/S. Rode/V. Kadlec/Joselu,T. Hildebrand/A. Uchida/B. Höwedes/D. Aogo/J. Matip/S. Kolašinac/J. Jones/K. Boateng/J. Draxler/M. Meyer/J. Farfán,3,3,5,1,3,8,4,3,20,19,2,3,49,51
