,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
185,14,Mainz,Augsburg,1,3,3.1,3.25,2.37
186,14,Schalke,FC Koln,2,2,1.39,4.75,8.5
187,14,Werder Bremen,Stuttgart,1,0,2.2,3.5,3.29
188,14,Freiburg,Hamburger SV,0,0,2.87,3.2,2.54
189,13,FC Koln,Hertha Berlin,0,2,3.1,3.2,2.37
190,13,Hamburger SV,Hoffenheim,3,0,2.45,3.5,2.87
191,13,Augsburg,Wolfsburg,2,1,2.0,3.5,3.79
192,13,B. Monchengladbach,Bayern Munich,2,1,4.75,4.33,1.61
193,13,Dortmund,Schalke,4,4,1.6,4.33,5.25
194,13,Eintracht Frankfurt,Bayer Leverkusen,0,1,2.45,3.5,2.79
195,13,Freiburg,Mainz,2,1,2.04,3.29,3.6
196,13,RB Leipzig,Werder Bremen,2,0,1.44,4.75,6.5
197,13,Hannover,Stuttgart,1,1,2.37,3.39,3.0
198,12,Schalke,Hamburger SV,2,0,1.75,3.6,5.0
199,12,Werder Bremen,Hannover,4,0,2.2,3.39,3.29
200,12,Bayer Leverkusen,RB Leipzig,2,2,2.37,3.7,2.79
201,12,Bayern Munich,Augsburg,3,0,1.18,7.5,15.0
202,12,Hertha Berlin,B. Monchengladbach,2,4,3.0,3.39,2.35
203,12,Hoffenheim,Eintracht Frankfurt,1,1,2.25,3.5,3.1
204,12,Mainz,FC Koln,1,0,1.83,3.5,4.33
205,12,Wolfsburg,Freiburg,3,1,1.61,4.0,5.5
206,12,Stuttgart,Dortmund,2,1,4.2,3.89,1.8
207,11,FC Koln,Hoffenheim,0,3,2.62,3.5,2.62
208,11,Wolfsburg,Hertha Berlin,3,3,2.0,3.29,4.2
209,11,Augsburg,Bayer Leverkusen,1,1,3.39,3.75,2.04
210,11,B. Monchengladbach,Mainz,1,1,1.57,4.2,5.75
211,11,Dortmund,Bayern Munich,1,3,3.6,4.0,1.9
212,11,Freiburg,Schalke,0,1,3.79,3.5,2.0
213,11,Hamburger SV,Stuttgart,3,1,2.79,3.25,2.6
214,11,RB Leipzig,Hannover,2,1,1.5,4.33,6.5
215,11,Eintracht Frankfurt,Werder Bremen,2,1,1.75,3.75,4.75
216,10,Stuttgart,Freiburg,3,0,1.85,3.6,4.33
217,10,Werder Bremen,Augsburg,0,3,2.04,3.5,3.6
218,10,Bayer Leverkusen,FC Koln,2,1,1.39,5.0,7.5
219,10,Bayern Munich,RB Leipzig,2,0,1.36,5.0,8.0
220,10,Hannover,Dortmund,4,2,7.0,5.0,1.39
221,10,Hertha Berlin,Hamburger SV,2,1,2.1,3.25,3.79
222,10,Hoffenheim,B. Monchengladbach,1,3,2.2,3.6,3.1
223,10,Schalke,Wolfsburg,1,1,1.8,3.6,4.5
224,10,Mainz,Eintracht Frankfurt,1,1,3.0,3.2,2.39
225,9,FC Koln,Werder Bremen,0,0,2.5,3.25,2.79
226,9,Freiburg,Hertha Berlin,1,1,3.0,3.0,2.5
227,9,Wolfsburg,Hoffenheim,1,1,2.6,3.6,2.62
228,9,Augsburg,Hannover,1,2,1.9,3.75,3.89
229,9,B. Monchengladbach,Bayer Leverkusen,1,5,2.75,3.6,2.37
230,9,Eintracht Frankfurt,Dortmund,2,2,4.0,3.75,1.9
231,9,Hamburger SV,Bayern Munich,0,1,15.0,7.5,1.18
232,9,RB Leipzig,Stuttgart,1,0,1.39,4.5,7.5
233,9,Schalke,Mainz,2,0,1.7,3.79,5.0
234,8,Bayer Leverkusen,Wolfsburg,2,2,1.5,4.33,6.0
235,8,Werder Bremen,B. Monchengladbach,0,2,2.8,3.5,2.45
236,8,Bayern Munich,Freiburg,5,0,1.08,13.0,21.0
237,8,Dortmund,RB Leipzig,2,3,1.5,4.33,6.0
238,8,Hannover,Eintracht Frankfurt,1,2,2.6,3.2,2.8
239,8,Hertha Berlin,Schalke,0,2,2.6,3.25,2.8
240,8,Hoffenheim,Augsburg,2,2,1.75,4.0,4.33
241,8,Mainz,Hamburger SV,3,2,1.75,3.6,5.0
242,8,Stuttgart,FC Koln,2,1,1.8,3.7,4.5
243,7,FC Koln,RB Leipzig,1,2,3.6,3.5,2.05
244,7,Freiburg,Hoffenheim,3,2,3.3,3.6,2.15
245,7,Hertha Berlin,Bayern Munich,2,2,11.0,5.75,1.25
246,7,Augsburg,Dortmund,1,2,5.75,4.33,1.55
247,7,B. Monchengladbach,Hannover,2,1,1.73,3.8,5.0
248,7,Eintracht Frankfurt,Stuttgart,2,1,2.05,3.3,3.8
249,7,Hamburger SV,Werder Bremen,0,0,2.7,3.2,2.75
250,7,Wolfsburg,Mainz,1,1,2.15,3.25,3.6
251,7,Schalke,Bayer Leverkusen,1,1,2.55,3.6,2.63
252,6,Bayer Leverkusen,Hamburger SV,3,0,1.33,5.25,9.0
253,6,Hannover,FC Koln,0,0,1.91,3.6,3.75
254,6,Dortmund,B. Monchengladbach,6,1,1.36,5.25,8.0
255,6,Hoffenheim,Schalke,2,0,2.1,3.6,3.4
256,6,Mainz,Hertha Berlin,1,0,2.1,3.3,3.5
257,6,RB Leipzig,Eintracht Frankfurt,2,1,1.75,3.6,5.0
258,6,Stuttgart,Augsburg,0,0,2.1,3.4,3.5
259,6,Werder Bremen,Freiburg,0,0,1.75,3.9,4.5
260,6,Bayern Munich,Wolfsburg,2,2,1.13,9.5,19.0
